"","x"
"34","SALT CITY (CUTTINGS WELL_ID=77934)"
"35","SWDW"
"36","elog lease name is Sutor A SWDW 1 - kcn - 6-16-2000"
"37","Well deepened to 4108  12-10-1951. Status changed to SWD at this time.  (drl 2/2006)"
"38","Recompleted for SWD July 22, 1957, TD 3368."
"39","spud, comp dates per top card - SKS 9/26/2000  elog well header marked Frank Kilian 4 SWD-BRB10/18/2000"
"40","Converted to SWD at some point."
"41","9-16-1953, plugged back to 2410 for oil. 1-13-1954 deepened to 3571 for SWD. New operator CRA."
"42","Original depth 3330. Deepened to 3496 in 6-7-1956 (possibly as SWDW)."
"43","'Maier Salt Water Disposal #2' on log   (AB 4-25-00)"
"44","Elog labeled Ebel B 1, which is a shallow SWD well. Attached to this well based on depths, dates, elevations, and no other suitable candidate."
"45","Drillers Log lists lease at South Fairport SWD. Completion date changed from 07-07-1983 to 06-04-1983 per Drillers Log. (DRL 01/2007)"
"46","SWD CABLE TOOL"
"47","comp date per top card - SKS 10/2/2000  TD 3624 deepened 10/14-11/18/1936 SWD per top card- SKS 10/2/2000"
"48","Discovery well for Shaeffer-Rothgarn field. APPLEGATE SWD 7 in 1953 by H G KAISER"
"49","APPLEGATE SWD 7 in 1953 by H G KAISER"
"50","Well history shows well originally drilled as an oil well. Then deepened several months later and completed as a SWD. KGS-W, MTD, 05/11/2018"
"51","Original depth 3814; deepened 8-26-1939 to 10-16-1939 as disposal well."
"52","May have been used as SWD."
"53","Changed status from SWD to Class 1 per KDHE records (DRL 5-4-2012)"
"54","Class 1 disposal well authorized under KDHE. was SECURITY UNDERGROUND STORAGE 1, was Riddell 1.  Williams Conway 1 and Security Underground 1 records merged 2014-11-10 per operator (DLS-DRL)"
"55","Possible Class I Injection well (DRL 5-4-2012)"
"56","Class 1 injection well under authority of KDHE. was SECURITY UNDERGROUND STORAGE 2. Williams Conway 2 and Security Underground 2 wells merged 2014-11-10 per operator (DLS-DRL)"
"57","Other API 15-007-01699-0002. Dual completion Gas from Snyderville and disposal in Lansing. Two workovers in 1996.  Numbering confusing as OWWO in 1994 not given OWWO code."
"58","DEEPENED FOR SWD AS #24 'C' BOGGS. (CUTTINGS WELL_ID=125350)"
"59","SWD conversion later?"
"60","Completion report TD is 3327, may have been worked over to SWD (DRL- KGS 5-24-2017)"
"61","SALT WATER DISPOSAL UNIT (CUTTINGS WELL_ID=74300)"
"62","E-log marked as Rolston SWD no. 3 (DRL 06-05-07)"
"63","The cuttings are in boxes 38896 and 38897.  Duplicate samples were in boxes 19702 and 19706 but the Wichita Well Sample Library will dispose of those.  Those box numbers will be reused. MCM 8-18-04"
"64","SWD in Chase and Council Grove"
"65","Footages changed from 250 fsl 200 fwl to 485 fsl 5217 fel per KCC 2nd OWWO location.  Range Oil re-entered strat well in 1978 changed to SWD (DRL 12-2-2013)"
"66","THIS IS A SALT WATER DISPOSAL WELL-SHALLOW DRL.1ST (CUTTINGS WELL_ID=19211)"
"67","ACO-1 has note says converted to SWDW"
"68","status changed from D&A to SWDW per C-10 (DRL 6-26-2014)"
"69","elog mismarked Crathorne 1 SWD - RME 3/28/2001"
"70","Mercury elogs read location as NW/4 & SWD - LH 7-27-2000"
"71","SWDW (CUTTINGS WELL_ID=63446)"
"72","Was Doyle Purkeypile  #2 Jenkins. Redrilled for SWDW in 4-14-1970."
"73","OWWO as SWD by CROSS"
"74","Footages 2970 FSL 990 FEL removed from well record, C-10 and completion cards place well in NW NW NW. Well was completed D&A 4-13-1974, re-entered 7-25-1974, wash down, completed 10-24-1974 as SWDW (DS-DRL 6-18-2010)"
"75","Very limited documentation for this well. One completion card  places well W2 W2 SW (1200 FNL, 330 FWL of SW), later card places in SE NE SW (1200 FNL, 320 FEL of SW). Elevation and written description on card: 1/4 mi NW of Salt Springs, matches SE NE SW"
"76","On 3 Jan 2008, the KCC changed the number on this well from 2 to 1 SWD. MCM 4 Jan 2008"
"77","1/1/91  Samples marked #2 Hull A SWD (CUTTINGS WELL_ID=103198)"
"78","well was deepened to SWD 05-23-1936 (DRL 05-31-2012)"
"79","From Donna Dill at the KCC: 15-081-30081-0000 is the Fromong 1 drilled in 1965.  It was reworked as a SWD well in 1983 and called the Fromong 2. There is another Fromong 2 (15-081-30082-0000) drilled in 1966.   MCM 12-29-03"
"80","Well drilled as oil well, card states 2300-3000 BOPD, but at some point was converted to SWD well. Was SWD when plugged by Okmar in 1968. (DS-DRL per KCC 1-14-2013)"
"81","The Ray Lee 4 is now a disposal well according to the operator. Greg Bohnenblust, DOR, 02/27/04."
"82","Disposal into Cedar Hill."
"83","Status changed from SWD to CLASS1 per KDHE. (DRL 2-22-2012)"
"84","THIS IS A DISPOSAL WELL (CUTTINGS WELL_ID=19590.) Class I injection well under KDHE authority, previous status changed from SWD to Class I (DRL 4-13-2012)"
"85","THIS IS A DISPOSAL WELL (CUTTINGS WELL_ID=19591). Class I injection well under KDHE authority, previous status changed from SWD to Class I (DRL 4-13-2012)"
"86","THIS WAS ORIGINALLY A LOST HOLE IN 1954.  IT WAS RE-ENTERED IN 1958 AND WAS CONVERTED TO A SWD WELL. IN 1954 WHEN THIS HOLE WAS LOST, THEY SKIDDED THE RIG AND DRILLED THE BUCKLIN 'A' 1 (15-151-19036)."
"87","changed to SWD later in 1964 as part of workover."
"88","Well also known as HAMILTON LP GAS STORAGE 2, and Hamilton D-2(DRL 8-5-2010) Well status changed from SWD to Class I per KDHE records (DRL 5-4-2012)"
"89","Changed from SWD to Class 1 per KDHE records. Class I Injection well under authority of KDHE, no API (DRL 5-7-2012)"
"90","elog marked Raymond SWD - bm 2/15/01"
"91","no indication of SWD or OWWO in top cards or driller s log.  1981 elog lease name: Mayhew 3, best match for location and TD - dm 03-29-2001"
"92","Status changed from SWD, spud date changed from 01 July 1959 and completion date changed from 07 January 1960 per Driller's Log. (DRL 02 2008)"
"93","Well was dry and abandoned then converted into SWD by operator. (DRL 02 2008)"
"94","Changed quarter calls from S2 NW SW, completion date from 11-04-1929, and status from SWD per Driller's Log (DRL 03-17-2008)"
"95","Class 1 injection well under KDHE authority. Status changed from INJ to CLASSI (DRL 2-21-2012)"
"96","Well name changed from William Brown SWD per Driller's Log. Spud and completion dates added from Driller's Log. (DRL 02 2008)"
"97","Class 1 injection well under KDHE authority. (DRL 5-7-2012)"
"98","Drillers log says dry, but record from Feb. 1965 (and workover record from 2000) says converted to SWD."
"99","Name listed on Cement Bond Log is Printz 1 SWD (DRL 05-05-2015)"
"100","Discovery well for Salt Marsh field."
"101","Discovery well for Salt Marsh field."
"102","GROW 4 OWWO in 1983, SWD plugged 1994"
"103","Later used as SWD."
"104","1985 SWDW MOBIL"
"105","also KISKA SWD"
"106","Originally dry; converted to SWDW 3/15/1967."
"107","1983 OWWO as REUSSER 2 by Brandt (SWD)"
"108","On 19 Feb 2009 the KCC changed the name on this record from ROBINSON 1-SWD to HAY 2. MCM 20 Feb 2009"
"109","Well is a dual completed well - SWD and Producer - production is shut-in. Is a current, authorized disposal well. per American Energies and KCC (DS-DRL 4-28-2011)."
"110","will drill for Arbuckle for disposal later"
"111","AKA Tyson #2 Jones. Class 1 injection well under authority of KDHE. (DS-DRL 3-29-2012)"
"112","SWD BY AMOCO 10/11/1997"
"113","DEEPENED TO 2994 IN 1951-1952 AS SWDW"
"114","1 BOX; SAMP. READ: 1 CORBIN SWDW,990'N/450'E/C"
"115","Class 1 injection well under KDHE authority. Status changed from INJ to CLASS1 (DRL 2-21-2012)"
"116","changed to SWD."
"117","Plugged by Kevin Allam Oil Operations, converted to SWD?."
"118","some records marked Jacobs F Rock Salt Blues 1 - SKS 5/29/20021"
"119","Elog has lease name Lester Pool SWD #1 and has quarters SW SW SW SE, which are incorrect. (DRL 10/2007)"
"120","ORIGINAL PLUGGING 12-01-1972. SWD OWWO PLUGGED 10-13-1999, Elog marked Northern Gas Products #2-32 - LH 6-23-2000"
"121","OWWO AS SWDW"
"122","Donna Dill (12/14/01): This is a wierd one, but both numbers are actually good.  15-055-21480-0001 is a gas well that is still producing.  15-055-21480 is a side string disposal that was plugged 05/16/2001."
"123","Discovery well for Penokee Northeast field. Converted to SWD well."
"124","Disposing into Lansing, Kansas City per ACO-1. (DRL 05 2008)"
"125","I think the D on the supporting records is because this is a disposal well, so I removed the D from the lease_name. MCM 12-16-04"
"126","per driller's log, dual completion as Disposal well (Sumner 2484-85) & Gas (Chase 2786-91) - SKS 7/5/2001"
"127","The Kelley 'D' 1 is a SWD well.  The proration record is numbered 'D' 1, but I think it is really the 'C' 1 so I put it here.  MCM 1-16-02"
"128","Plugged by Fina Oil and Chemical Co.; may have been converted to SWD well."
"129","Disposal into Cedar Hills."
"130","Tim Carr said: This is a well that produced a little noncommercial oil from the Mississippian , then was recompleted as a salt water disposal well (probably for water from Panoma and Hugoton wells).  The oil is not from the Panoma. 06-25-2002 MCM"
"131","OWWO as SWD in 2000 by DANE HANSEN"
"132","SWD"
"133","JNE 12 (CUTTINGS WELL_ID=82131)  e-log marked 150' SE of NE NE & Petersilie SWD B - EB 11-30-2201"
"134","elog lease name: Rupp A 4 SWD"
"135","Recompleted as disposal well 6/22/1982."
"136","Intented as SWD well. Lost Hole and plugged. Rig skidded west 6' to complete the Wiltrout 3 SWD well, 15-147-19121. Quarter calls changed from N2 NE SW NE to SE SW NE per Laughlin and Simmons Survey noted on Drillers log. (DS-DRL 2-16-2012)"
"137","Converted to SWD at some point."
"138","Changed status from SWD to Class 1 and location from E2 NW to NE NE NW per KDHE records. Class 1 Injection well under KDHE authority, no API (DRL 5-7-2012)"
"139","also 'Whited SWD #1' on log"
"140","White & Ellis was the original operator.  Operations turned over to Falcon Exploration at 3790 feet to be deepened for disposal purposes. (DRL 03-19-07)"
"141","E logs list as SWD #2, however location matches 1. drl 03-27-06"
"142","Class 1 injection well under authority of KDHE.(DRL 4-16-2012)"
"143","SWDW"
"144","Originally drilled as an oil well but completed as a SWD well. (drl 8-19-05)"
"145","also Kennedy SWD #2 on log  (AB 3-30-00)"
"146","Class I Injection well under authority KDHE (DRL 12-29-11)"
"147","changed to SWD in 1997."
"148","Converted to SWD at some point."
"149","elog well header is marked Warren 2 SWD-BRB10/18/2000"
"150","Status changed to SWD per Driller's Log and other documentation. (DRL 05 2008)"
"151","Class 1 injection well under KDHE authority."
"152","Class I Injection well under authority KDHE (DRL 12-29-2011) Converted to Class II (DRL 4/10/2012)"
"153","VIKING RESOURCES SWD"
"154","Discovery well for Salt Marsh South field. Some sources have Sara Sleeper 1-V."
"155","Discovery well for Salt Marsh field."
"156","Discovery well for Salt Marsh South field, pool 2."
"157","Discovery well for Salt Marsh South field."
"158","SWD by TXO PRODUCTION in 1981"
"159","owwo as KOLARIK SWD  by UNION VALLEY in 1993. Location adjusted based on GPS values on OWWO. Irregular section."
"160","OWWO as SWD in 1990."
"161","elog marked Tidball SWD - LH 7-5-2000"
"162","Info from the KCC, 21 May 2007, explaining why there is confusion about APIs 21267 and 20277:  15-198-20277-00-02 - SWD Application submitted in 1990 BUT submitted under 15-195-21267 Pfeifer 3 990 FSL, 990 FEL, NWSESE.  Order was written and well put on"
"163","Disposal into Cedar Hills Formation. (DRL 02 2007)"
"164","Well worked over and deepened in 1955 and converted to SWD. DF, Depth, Dates and Lease Name per Deepening Record. (DRL 11-07-06)"
"165","Well number changed from 2 SWD to 3 SWD, KB added, spud and completion dates added, per drillers log; (DRL/DRS, 09/11/2009)."
"166","Operator changed from Knight Casing Pulling Co. to Francis Hawn, status changed from SWD to Oil, and IP added per drillers log; DRL-DRS, 03-11-2009."
"167","Converted to SWD. Plugged by Thomas E. Wilkinson."
"168","Well plugged by W.M.J. CO. Elog lists quarter calls as SE SE SE. Drillers log states well use: water supply. SWD use from KCC plugging record (DRL-DS 6/16/2010)."
"169","SWD"
"170","Lease name and quarter calls changed to match top card, confirmed by total depth and SWD-BJB 6/28/00"
"171","Operator at plugging is RAMA Operating. Well entered from workover ACO-1 conversion to SWD, completion date of original well stated 1976, TD 6280. KGS has no ACO-1 for original well. (DRL 07-13-09)"
"172","THIS IS A SALT WATER DISPOSAL WELL."
"173","elog marked in pencil, Collins SWD 1-BRB10/9/2000  quarter call & KB not on elog thus top card/ACO1 not identifiable for well number-BRB10/9/2000"
"174","Donna Dill (12/14/01): This is a wierd one, but both numbers are actually good.  15-055-21480-0001 is a gas well that is still producing.  15-055-21480 is a side string disposal that was plugged 05/16/2001."
"175","Elogs marked McGannon Disposal 2. Lane-Well log a pages photocopy."
"176","Well from 1964, plugged back in 1966. Converted to SWD in 1998."
"177","From Donna Dill at the KCC: 15-081-30081-0000 is the Fromong 1 drilled in 1965.  It was reworked as a SWD well in 1983 and called the Fromong 2. There is another Fromong 2 (15-081-30082-0000) drilled in 1966.   MCM 12-29-03"
"178","Dual completion, gas from Chase and disposal in Marmaton."
"179","operator, API, elevation, TD, spud, comp dates per ACO1 - SKS 6/10/2002  elogs mismarked Clinesmith 1-B SWD; Location listed as 260 feet FNL per Completion Report (KGS-DRL 6-24-2016)."
"180","Tim Carr said: This is a well that produced a little noncommercial oil from the Mississippian , then was recompleted as a salt water disposal well (probably for water from Panoma and Hugoton wells).  The oil is not from the Panoma. 06-25-2002 MCM"
"181","and SWD."
"182","Well status changed from D&A to SWD per Completion form, spud date was prev. listed in database as 04-01-1983 but compl form rec'd at KCC 02-19-1982 and log run 02-02-1982. (DRL 02-25-2009)"
"183","On 28 Jan 2008, the KCC changed the name on this record from FRISBIE 1-SWD to RICHARDS 2. MCM 29 Jan 2008"
"184","Injecting into Cedar Hills; ACO-1 lists well name and number as Duncan SWD. (DRL 11-27-2007)"
"185","Previous name was Garner SWD 1, changed by KCC."
"186","ACO-1 states well use as oil, Status was previously listed as SWD. (DRL-DS 3-31-09)"
"187","Well previously named Updegraff #1; ACO-1 also lists as a SWD well - 5/11/04 ABC"
"188","Discovery well for Salt Marsh South field."
"189","WELL WAS RECLASSIFIED FROM A CLASS I INJECTION WELL TO CLASS II INJECTION WELL - date unavailable (DRL per KCC 11-8-2011)"
"190","also SWD."
"191","Disposal into Mississippian Osage"
"192","ACO-1 lists lease as 20104 JV-P Walnut 5 SWD. (DRL 07/2007)"
"193","Class I injection well under KDHE authority, previous status changed from SWD to Class I (DRL 4-13-2012)"
"194","Footages changed from 845 FNL, 831 FEL to 1795 FNL, 1809 FEL. 845 FNL, 831 FEL were measured from center of section. TD changed from 2059 to 1617 per completion form. 7-21-1964 SWD OWWO record added to database (DRL-DS 10-27-2010)"
"195","Well type changed from Oil to SWD per ACO-1.(DRL-DS 07-14-2011) WELL TYPE CHANGED BACK TO OIL. OWWO WAS SWD. -RLH 09/02/11"
"196","SWD disposal status and lease number assignment confirmed by operator on 06/12/12."
"197","Dual completed, gas Holdenville and Mulky, SWD inj to Burgess Sand. Location changed from NW SE, 1980 FSL 1980 FEL to SW NE NW SE 2049 FSL 1711 FEL per OWWO and aerial image. (DLS-DRL 3-11-2015)"
"198","Plugged by Berexco, Inc.; converted to SWD after 1998."
"199","AB-LOC SWD"
"200","Unapproved SWD"
"201","SWD by Thomason Oil Company"
"202","Also SWD. Discovery well for Castleton field."
"203","Arbuckle (Disposal Zone)"
"204","Disposal into Cherokee Group."
"205","converted to SWD. Discovery well for Unruh field."
"206","Disposal into Arbuckle."
"207","Disposal into Arbuckle."
"208","From Donna Dill at the KCC: 15-081-30081-0000 is the Fromong 1 drilled in 1965.  It was reworked as a SWD well in 1983 and called the Fromong 2. There is another Fromong 2 (15-081-30082-0000) drilled in 1966.   MCM 12-29-03"
"209","From Donna Dill at the KCC: 15-081-30081-0000 is the Fromong 1 drilled in 1965.  It was reworked as a SWD well in 1983 and called the Fromong 2. There is another Fromong 2 (15-081-30082-0000) drilled in 1966.   MCM 12-29-03"
"210","On 2 Jul 2007, the KCC renamed this record from BARRY LKC UNIT 6-20 to BARRY SWD SY D11. MCM 3 Jul 2007"
"211","Water Disposal Well"
"212","Changed status because the field WELL_CLASS said 'Temporarily abandoned.'  This is a field that is maintained by the KCC.  MCM 3-2-04"
"213","Some work done to convert to SWD, but deemed uneconomic."
"214","Disposal into Cedar Hills Formation per ACO-1. (DRL 12-05-06)"
"215","It appears that the KCC changed the API from 15-065-03396-0002 to 15-065-01013-0002. MCM 15 Jun 2007    disposal formation: cedar hill"
"216","Original operator name changed from Rounds & Stewart to Clifton L. McCown; status changed from SWD to OIL; IP and producing zone added; per drillers log; (Note: scout card says dual completion, oil from Miss., disposal in Arbuckle); (DRL/DRS, 12-04-2009)"
"217","Class 1 Injection well (nonhazardous disposal well). KDHE permit no. KS-01-055-003. It was drilled to 5800, then directionally W NW within the Arbuckle formation.  TD 7115, true vertical TD 6470.  API no. of 15-175-21791 listed on some records is not val"
"218","Discovery well for Salt Marsh Southeast. Later ops Wayne Kirkman, Target Oil and Gas. Plugged by Larson."
"219","converted to SWD"
"220","SWD by CMX"
"221","Dual Completion: Disposal Formation is Arbuckle. (DRL 11-13-06);   The previous API for this record was 15-195-00959-0001. MCM 05-15-2006"
"222","Attempt to convert well to disposal well failed, per ACO-1. (DRL 09-25-06)"
"223","Elog marked SW SW SE and well name Grabs SWD #1 (DRL 12-21-06)"
"224","AB-LOC of SWD"
"225","Also SWD."
"226","ACO-1 reported well in Range 34W, corrected to 33W per operator, T-1, KCC. Application for SWD was received 7-29-1998, Dismissal of Injection Applic for SWD Authority was issued on 4-3-07 by KCC. Field Inspection by KCC 8-19-02 well is a gas producer. (D"
"227","Probably two workovers, Sept. 1963 D&A and 1964 as SWDW.  Scout cards for both."
"228","Disposal intoo Arbuckle."
"229","AB LOC of SWD"
"230","Disposal into Arbuckle."
"231","Status changed from SWD per ACO-1. (DRL 09 2007)"
"232","I am guessing this is the second workover, although the KCC record says it is the first.  The dates are too different and it is GAS and the original well was dry, and the first workover was SWD, so I do think this is a separate workover. MCM 10-12-2005"
"233","Class 1 Injection well under authority KDHE, KDHE permit KS-01-155-008 (DRL 4-4-2012)Large e-logs split between multiple files by depth (DRL 4-9-2012)"
"234","Expired intent for SWD well."
"235","The KCC had a scout card that allowed us to figure out that the KRENKE 'A' 3 was a workover of the Peterman 1, and that it was a SWD well in the end and that it was plugged. 03-09-2006"
"236","Despite SWD designation, listed as infield discovery well for Crystal Springs South field, Mississippian gas."
"237","ACO-1 lists status as SWD with no production or producing formation. (DRL 03 2008)"
"238","Changed status from SWD per ACO-1. (DRL 04-29-2008)"
"239","Disposal into Cherokee coals (based on Intent)"
"240","Status changed from SWD to Shut-in CBM per ACO-1. (DRL 10 2007)"
"241","Changed total depth from 834 per ACO-1. Status changed from SWD to Shut-in CBM per ACO-1. (DRL 10 2007)"
"242","Changed status from SWD per ACO-1. (DRL 04-29-2008)"
"243","AB LOC of SWD"
"244","AB LOC of SWD"
"245","Status changed from SWD to Shut-in CBM per ACO-1. (DRL 10 2007)"
"246","Status changed from SWD to Shut-in CBM per ACO-1. (DRL 10 2007)"
"247","Status changed from SWD to Shut-in CBM per ACO-1. (DRL 10 2007)"
"248","Changed status from SWD per ACO-1. (DRL 04-29-2008)"
"249","Disposal into Cedar Hills. TD corrected from 3427 to 3247 per second ACO-1, elogs. (DRL-DS 6-11-2013)"
"250","AB LOC of SWD"
"251","Status changed from SWD to Shut-in CBM per ACO-1. (DRL 10 2007)"
"252","This well is a workover of an oil well completed 12-31-1966; was converted to a SWD. (DRL 02-01-2013)There was an additional record in the KGS database for this well in sec. 24, with API 15-155-30158 for some time. Corrected to sec 17 per KCC (DLS-DRL 02"
"253","Lease name and operator taken from electric logs with same location (DRL 8-11-11) Changed status from EOR to Class 1 and location from E2 to SW NE SE per KDHE records. Class 1 Injection well under KDHE authority, no API (DRL 5-7-2012)"
"254","Disposal into Cedar Hills."
"255","Info from the KCC, 21 May 2007, explaining why this series of records is so confusing:  15-198-20277-00-02 - SWD Application submitted in 1990 BUT submitted under 15-195-21267 Pfeifer 3 990 FSL, 990 FEL, NWSESE.  Order was written and well put on Docket"
"256","Pennsylvanian Coals (Disposal Zone)"
"257","AB-LOC of SWD"
"258","Disposal into Cedar Hills."
"259","ACO-1 Status displays Oil (DRL 1-16-2009)"
"260","Class I well under KDHE authority, converted to Class II (DRL 7-31-2012)"
"261","Disposal into Arbuckle."
"262","Class 1 Disposal well under authority of KDHE. This is an older disposal well, a newer Disposal well 2 was drilled in 2006 within a few hundred feet. Survey does not have documents for this well, but does have cuttings.(DS-DRL 2-10-2012). Total depth det"
"263","Corrected Notice of Intent - Well name from Van Cleave SWD 18-1 to Van Cleave 18-1"
"264","Application for SWD was received 7-29-1998, Dismissal of Injection Applic for SWD Authority was issued on 4-3-07 by KCC. Field Inspection by KCC 8-19-02 well is a gas producer. (DS 11-02-2009)"
"265","KDOT Bridge core. Whole core, 2 in diameter.  K-170 over Salt Creek.  On 2nd floor of Lawrence Core Facility."
"266","Class 1 Injection Well, KDHE Permit No. KS-01-155-009; Disposing into Arbuckle 4055' to 4740'."
"267","Disposal into Arbuckle; Field listed as Maddie on ACO-1 (sp. on ACO-1 as Mattie). Completion date changed from 31 July 2007. (DRL 12 2007)"
"268","Disposal into Arbuckle"
"269","Converted to SWD 11-2-1988 API 15-049-21858-0001"
"270","Later operator Indian Oil Co., who probably did the SWD conversion. Other API 15-007-30313."
"271","Disposal into Arbuckle."
"272","Current Operator Occidental Chemical. Class I UIC Permit No. KS-01-173-010; Injection zone Simpson, Arbuckle; Data source: Kansas Department of Health & Environment, Bureau of Water - MTD 02/08/2008   Status changed from INJ to CLASS1 per KDHE (DRL 2-21-"
"273","Other operators: Operator changed from Texaco, Inc to Brigman Production, Inc., then to Val Energy, Inc (KCC) Spud date taken from date on wireline log. Depth from KCC UIC record. Log records 3490 as TD. Wireline log calls well SWD. (DRL-DS 3-8-2010)"
"274","Quarters changed from SE NE SW to SW NE SW, elev. from 1331 to 1381 KB, and status from SWD to Oil per drillers log; TD, spud and completion dates, and IP added per drillers log; DRL-DRS, 03-11-2009."
"275","Disposal into Arbuckle"
"276","Other operator Pintail Petroleum, Ltd., who gave over well when SWD decision was made. Original name was Tammen 'C' WFO 1-30."
"277","Well was intented as Carlson-Armstrong Unit 1-7, but changed as part of SWD application. Footages changed based on GPS."
"278","Originally filed as oil/gas well. Converted to saltwater disposal well once drilled. Source: KCC. Injection into Arbuckle."
"279","Info from DOR 26 Feb 2009: Lease 139805, (API 15-081-21838) had a name change from Smith Z-1 to McCoy C-2. Per the operator, 'the well was classified as an oil well and later  the composition of production (ratio of gas to oil) was changed and was reclas"
"280","Disposal into Arbuckle."
"281","Disposal into Arbuckle."
"282","other API was 15-009-90927. Orig drilled by Sun Oil as McKinney 1,compl 8-3-1955, TD 3580, D&A. Drilled deeper by Honaker and Davis 5-2-1956, renamed McKinney 2, TD 3610, TA.  Then deeper to 3741, Converted to SWD 8-14-1956 and renamed B-2(DLS-DRL 12-18-"
"283","Well added per info on Western KS Oil and Refg. Schneider 2 card. re. OWWO conversion to SWD. (DS 02-02-2002)"
"284","Application for SWD was received but before any action was taken well was plugged (DRL per KCC) Footage changed from 3620 FNL to 1320 FNL per ACO-1 and aerial images. (DS-DRL 12-02-2010)"
"285","Discovery well for Salty Creek field."
"286","SWD AB LOC"
"287","Disposal into Burgess."
"288","Disposal into Lansing-Kansas City."
"289","Class 1 injection well under authority of KDHE. Injecting into Arbuckle. Compl date estim from letters. Latitude longitude values from Petrotek.(DS-DRL 12-2010)"
"290","Class 1 injection well under KDHE authority. Status changed from INJ to CLASS1 (DRL 2-21-2012)"
"291","Name and status changed from SWD to Oil on ACO-1."
"292","Class 1 Injection Well under authorization by KDHE. Status changed from INJ to CLASS1 (DRL 2-21-2012)"
"293","SWD disposal status and lease number assignment confirmed by operator on 06/12/12."
"294","INFO PER RECORDS AT THE KS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API. This record was originally in Sec 18.(DRL 1-6-2012)"
"295","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API. This record was originally in Sec 18.(DRL 1-6-2012)"
"296","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
"297","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)  Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
"298","INFORMATION PER RECORDS AT THE KANSAS GEOLOGICAL SOCIETY IN WICHITA. (RLH 12-21-2010)    Salt cavern gas storage well, under authority KDHE, no API (DRL 1-6-2012)"
