"","KID","API_NUMBER","API_NUM_NODASH","LEASE","WELL","FIELD","LATITUDE","LONGITUDE","LONG_LAT_SOURCE","TOWNSHIP","TWN_DIR","RANGE","RANGE_DIR","SECTION","SPOT","FEET_NORTH","FEET_EAST","FOOT_REF","ORIG_OPERATOR","CURR_OPERATOR","ELEVATION","ELEV_REF","DEPTH","PRODUCE_FORM","IP_OIL","IP_GAS","IP_WATER","PERMIT","SPUD","COMPLETION","PLUGGING","MODIFIED","OIL_KID","OIL_DOR_ID","GAS_KID","GAS_DOR_ID","KCC_DOCKET","STATUS","STATUS2","COMMENTS","permit_as_date","spud_as_date","completion_as_date","plugging_as_date","modified_as_date"
"10095",1001217594,"15-051-04789",15051047890000,"KOLLMAN","8","Bemis-Shutts",39.0931957,-99.2430677,"Calc. from footages",11,"S",17,"W",18,"C  S2 NE SE",1650,-660,"SE","DICKEY OIL COMPANY","unavailable",1838," DF",3835,"",NA,NA,NA,"","22-MAY-1941","22-JUN-1941","01-APR-1983","01-DEC-2010",NA,NA,NA,NA,"","D&A","Converted to SWD Well","Dry well deepened and converted to SWD beginning 10 September 1941 and completing on 16 September 1941. Well was originally 3835 ft deep, but was deepened to 3893. (DRL 09-06-06)",NA,1941-05-22,1941-06-22,1983-04-01,2010-12-01
"10249",1001217754,"15-051-04974",15051049740000,"MARSHALL 'E'","13","Bemis-Shutts",39.0784285,-99.2718228,"Calc. from footages",11,"S",18,"W",24,"  SW NE SW",1650,-3630,"SE","Lario Oil and Gas Co.","unavailable",1951," KB",3560,"",3000,NA,NA,"","21-NOV-1947","08-DEC-1947","01-NOV-1973","20-JUN-2008",1001117430,107977,NA,NA,"","OIL-P&A","Spudded","elog fields marked Burnett, Lane Wells elog marked SWD - LH 7-27-2000",NA,1947-11-21,1947-12-08,1973-11-01,2008-06-20
"10879",1001218422,"15-051-05807",15051058070000,"F. A. BEMIS","6","Bemis-Shutts",39.0790195,-99.2003404,"Calc. from footages",11,"S",17,"W",22,"  SE NW SW",1650,-4290,"SE","BRITISH-AMERICAN OIL PRODUCTION COMPANY","unavailable",1930," DF",3430,"",2943,NA,NA,"","16-APR-1937","26-MAY-1937","","10-JAN-2011",NA,NA,NA,NA,"","OIL","Converted to SWD Well","Well deepened and worked-over and converted to SWD. See work-over entry for information. (DRL 09-26-06)",NA,1937-04-16,1937-05-26,NA,2011-01-10
"10943",1001218488,"15-051-05880",15051058800000,"MARSHALL 'E'","17","Bemis-Shutts",39.0783526,-99.2625205,"Calc. from footages",11,"S",18,"W",24,"  SW NE SE",1650,-990,"SE","Lario Oil and Gas Co.","Lario Oil & Gas Company",1881," GL",3680,"",209,NA,NA,"","14-JAN-1948","10-APR-1948","01-JAN-1987","20-JUN-2008",1001117430,107977,NA,NA,"","OIL-P&A","Plugged and Abandoned","Well deepened 02-08-1952 to 02-28-1952 to a new total depth of 3836 feet. Converted to SWDW.(DRL 08-09-06)",NA,1948-01-14,1948-04-10,1987-01-01,2008-06-20
"11015",1001218563,"15-051-05964",15051059640000,"FRED A. BEMIS","2","Bemis-Shutts",39.0715094,-99.2142572,"Calc. from footages",11,"S",17,"W",28,"  SE NE NW",4290,-2970,"SE","L H WENTZ","unavailable",1953," DF",3989,"",NA,NA,NA,"","22-JUN-1937","24-JUL-1937","","23-AUG-2007",1001117301,107848,NA,NA,"","SWD","Spudded","Deepening record does not list status as SWD; well original depth was 3466 with IP of 3036 BO, deepened in 1947. Spud and completion dates listed above refer to original well, not deepening/workover - added from Deepening Record. (DRL 10-26-06)",NA,1937-06-22,1937-07-24,NA,2007-08-23
"11528",1001219283,"15-051-70163",15051701630000,"DREILING (SWD Martin Dreiling 2)","4","UNKNOWN",39.0362134,-99.2169484,"Calc. from footages",12,"S",17,"W",4,"  W2 NE SW",1980,-3630,"SE","T M DEAL O&G CO","Dreiling Oil Inc",2126," KB",4185,"",NA,NA,NA,"","14-MAY-1941","14-MAY-1941","19-APR-1991","31-MAY-2017",1001120862,110812,NA,NA,"","SWD-P&A","Plugged and Abandoned","Quarter call changed via top card- BJB 09/07/00  comp date per top card - dm 05-14-2001. D&A in 1941 TD 3700, re-entered 1979 for SWD TD 4185 per scout card (DRL-KGS 5/31/2017)",NA,1941-05-14,1941-05-14,1991-04-19,2017-05-31
"12836",1001222409,"15-053-34972",15053349720000,"INDEPENDENT SALT","1","UNKNOWN",38.7224553,-98.1285626,"Calc. from footages",15,"S",7,"W",29,"C  SE NW NW",4290,-4290,"SE","INDEPENDENT SALT CO","unavailable",1604," DF",1855,"",NA,NA,NA,"","","01-JAN-1914","","17-AUG-2018",NA,NA,NA,NA,"","OTHER()","","Salt mine shaft. No oil or gas production.",NA,NA,1914-01-01,NA,2018-08-17
"12837",1001222410,"15-053-34973",15053349730000,"CRYSTAL SALT","1","UNKNOWN",38.7170515,-98.1494026,"Calc. from footages",15,"S",7,"W",30,"C  NW NW SW",2310,-4950,"SE","CRYSTAL SALT","unavailable",1585," DF",793,"",NA,NA,NA,"","","","","17-AUG-2018",NA,NA,NA,NA,"","OTHER()","","Salt mine. No oil or gas production.",NA,NA,NA,NA,2018-08-17
"13527",1001230431,"15-065-02444",15065024440000,"HATCHER","3","HATCHER",39.3042613,-99.7015142,"Calc. from footages",9,"S",21,"W",6,"C  SW NE NE",4290,-990,"SE","John O. Farmer, Inc.","unavailable",2220," KB",1466,"",NA,NA,NA,"","19-FEB-1958","20-FEB-1958","","16-MAY-2007",NA,NA,NA,NA,"","LOC","Converted to SWD Well","Drillers log states use swdw",NA,1958-02-19,1958-02-20,NA,2007-05-16
"13816",1001230790,"15-065-02567",15065025670000,"Cox 'A'","2","UNKNOWN",39.242592,-99.6250792,"Calc. from footages",9,"S",21,"W",26,"C  SE SE NE",2970,-330,"SE","DERBY OIL CO.","unavailable",2246," DF",3822,"",NA,NA,NA,"","17-APR-1949","28-APR-1949","28-APR-1949","06-APR-2015",NA,NA,NA,NA,"","D&A","Plugged and Abandoned","Well deepened to 4251' and status changed to SWDW 6-16-1954. (drl 12-21-05)",NA,1949-04-17,1949-04-28,1949-04-28,2015-04-06
"14816",1001233161,"15-067-20609",15067206090000,"MCGANNON Gas Unit","3","PANOMA GAS AREA",37.5610903,-101.494054,"Calc. from footages",29,"S",38,"W",5," SE NE NW NE",4905,-1325,"SE","Amoco Production Co.","BP America Production Company",3156," KB",4553,"Council Grove Group",NA,NA,NA,"","19-AUG-1985","30-SEP-1985","","14-MAY-2015",NA,NA,NA,NA,"","OTHER(CLASS ONE (OLD))","Recompleted","Status changed from Gas to Class I per KDHE records. Converted to Class II well under authority KDHE (DRL 5-7-2012)",NA,1985-08-19,1985-09-30,NA,2015-05-14
"15153",1001237615,"15-077-01057",15077010570000,"Wilson 'B","2","HIBBORD",37.070553,-98.2763634,"Calc. from footages",34,"S",9,"W",22,"C   NE SE",1980,-660,"SE","William Gruenerwald","unavailable",1287," KB",4649,"",NA,NA,NA,"","29-DEC-1959","11-JAN-1960","31-MAY-1961","11-FEB-2015",NA,NA,NA,NA,"","D&A","Plugged and Abandoned","May have been SWD later by Clarke Exploration, who plugged the well.",NA,1959-12-29,1960-01-11,1961-05-31,2015-02-11
"17376",1001255363,"15-113-00941",15113009410000,"Fagerberg","1","LINDSBORG",38.5927517,-97.6838984,"Calc. from footages",17,"S",3,"W",8,"C  W2 NW NW",-660,330,"NW","Bay Petroleum Co.","unavailable",1338," KB",3496,"",NA,NA,NA,"","23-JUL-1942","10-AUG-1942","01-SEP-1984","07-JUL-2005",NA,NA,NA,NA,"","OIL-P&A","Plugged and Abandoned","SALT WATER DISPOSAL WELL (CUTTINGS WELL_ID=62251)",NA,1942-07-23,1942-08-10,1984-09-01,2005-07-07
"17384",1001255398,"15-113-01615",15113016150000,"FARMERS BANK","2","",38.57187,-97.68216,"From GPS",17,"S",3,"W",17,"  NE NW SW",2367,-4564,"SE","BAY PETROLEUM CORP","Tenneco Oil Company",1338," GL",3478,"",NA,NA,NA,"","21-JUL-1948","21-SEP-1951","","02-NOV-2006",NA,NA,NA,NA,"","SWD","Converted to SWD Well","SWD 3630 (CUTTINGS WELL_ID=62278)",NA,1948-07-21,1951-09-21,NA,2006-11-02
"19445",1001269898,"15-151-20689",15151206890000,"F. McClellan 'A'","1","CUNNINGHAM",37.643876,-98.4836898,"Calc. from footages",28,"S",11,"W",2," SE NE NE NE",4788,-190,"SE","","Northern Natural Gas Producing Co.",1744," KB",4700,"",NA,NA,NA,"24-OCT-1979","17-NOV-1979","04-DEC-1979","","24-FEB-2015",NA,NA,NA,NA,"D19907.0","OTHER(CLASS ONE (OLD))","Injection Authorization Terminated","Class I Injection well under authority KDHE (DRL 12-29-11)",1979-10-24,1979-11-17,1979-12-04,NA,2015-02-24
"19708",1001271607,"15-151-10713",15151107130000,"J. B. Chance","3","FRISBIE NORTHEAST",37.8108694,-98.7427431,"Calc. from footages",26,"S",13,"W",4,"C  SW NE SE",1650,-990,"SE","Skelly Oil Co.","unavailable",1934," KB",4850,"",NA,NA,NA,"","22-MAY-1954","15-SEP-1954","18-AUG-1967","05-DEC-2017",NA,NA,NA,NA,"","SWD-P&A","Plugged and Abandoned","AKA: Frisbie SWDW 1. KGSW, MTD, 12/05/2017",NA,1954-05-22,1954-09-15,1967-08-18,2017-12-05
"20965",1001276035,"",NA,"Ferrell Gas","1-SWD","HUTCHINSON",38.0228797,-97.9955798,"Calc. from footages",23,"S",6,"W",29," SE NE SE NE",3431,-150,"SE","KDHE","unavailable",1581," TOPO",4800,"",NA,NA,NA,"","27-MAY-1993","20-SEP-1993","","12-FEB-2004",NA,NA,NA,NA,"","SWD","Well Drilled","70-A2556 CLASS-1 NON-HAZD in lease name field originally",NA,1993-05-27,1993-09-20,NA,2004-02-12
"24615",1001283493,"15-159-05046",15159050460000,"LYONS","1","LYONS",38.3422599,-98.1807807,"Calc. from quarter calls",20,"S",8,"W",2,"   SW NW",NA,NA,"","DRILLERS GAS CO","unavailable",1708," GL",3300,"",NA,NA,NA,"","09-MAY-1938","28-JUN-1938","09-APR-1942","04-MAY-1999",NA,NA,NA,NA,"","GAS-P&A","Plugged and Abandoned","SALT CITY (CUTTINGS WELL_ID=77934)",NA,1938-05-09,1938-06-28,1942-04-09,1999-05-04
"27004",1001289859,"15-163-02680",15163026800000,"H. BERLAND","3","MARCOTTE",39.1641832,-99.489664,"Calc. from footages",10,"S",19,"W",19,"C  NE SW SW",990,-4290,"SE","THE TEXAS CO","unavailable",2228," KB",4292,"",NA,NA,NA,"","19-JUN-1948","14-JUL-1948","08-JAN-1971","09-OCT-2009",NA,NA,NA,NA,"D01996.0","SWD-P&A","Plugged and Abandoned","SWDW",NA,1948-06-19,1948-07-14,1971-01-08,2009-10-09
"27259",1001290232,"15-163-03250",15163032500000,"SUTOR","1 SWD","MARCOTTE",39.182221,-99.5014305,"Calc. from footages",10,"S",20,"W",13,"  NW NW SE",2240,-2310,"SE","SOHIO PETROLEUM CO","BP Exploration, Inc.",2192," KB",4264,"",NA,NA,NA,"","04-NOV-1951","23-NOV-1951","01-NOV-1988","10-NOV-2009",NA,NA,NA,NA,"D02978.0","SWD-P&A","Plugged and Abandoned","elog lease name is Sutor A SWDW 1 - kcn - 6-16-2000",NA,1951-11-04,1951-11-23,1988-11-01,2009-11-10
"27376",1001290412,"15-163-04278",15163042780000,"Ouderkirk","3","MARCOTTE",39.1496585,-99.5066216,"Calc. from footages",10,"S",20,"W",25,"C  NW SE SW",954,-3802,"SE","Midstates Oil Corp.","unavailable",2111," KB",3712,"",NA,NA,NA,"","02-JUN-1950","24-JUN-1950","","20-NOV-2013",NA,NA,NA,NA,"","OIL","Converted to SWD Well","Well deepened to 4108  12-10-1951. Status changed to SWD at this time.  (drl 2/2006)",NA,1950-06-02,1950-06-24,NA,2013-11-20
"29029",1001295446,"15-167-02712",15167027120000,"Mai","2","GORHAM",38.8211079,-98.9238864,"Calc. from footages",14,"S",14,"W",19,"C  S2 S2 NW",2970,-3960,"SE","J. W. Braden Drilling Co.","unavailable",1842," KB",3265,"",NA,NA,NA,"","02-JUL-1950","30-AUG-1950","01-JAN-1987","29-DEC-2016",NA,NA,NA,NA,"","D&A","Converted to SWD Well","Recompleted for SWD July 22, 1957, TD 3368.",NA,1950-07-02,1950-08-30,1987-01-01,2016-12-29
"29419",1001296893,"15-167-01985",15167019850000,"KILLIAN 'A'","4","RUSSELL",38.8937319,-98.8877842,"Calc. from footages",13,"S",14,"W",28,"C  SE SW NW",2970,-4290,"SE","SIDEY, V. D. OIL CO.","unavailable",1858," KB",3280,"",NA,NA,NA,"","25-MAY-1949","06-JUL-1949","","12-FEB-2004",1001113299,105327,NA,NA,"","OIL","","spud, comp dates per top card - SKS 9/26/2000  elog well header marked Frank Kilian 4 SWD-BRB10/18/2000",NA,1949-05-25,1949-07-06,NA,2004-02-12
"29929",1001299183,"15-167-06307",15167063070000,"F. H. BOOTH 'B'","2","FAIRPORT",39.0719872,-99.0066289,"Calc. from footages",11,"S",15,"W",29,"C  SE NW NE",4290,-1650,"SE","STANOLIND OIL & GAS CO.","unavailable",1783," KB",3220,"",168,NA,NA,"","26-MAY-1939","16-JUL-1939","01-OCT-1951","20-JUL-2010",1001112575,104858,NA,NA,"","OIL-P&A","Converted to SWD Well","Converted to SWD at some point.",NA,1939-05-26,1939-07-16,1951-10-01,2010-07-20
"30670",1001300396,"15-167-03380",15167033800000,"GALE SELLENS","9","TRAPP",38.7393525,-98.8007657,"Calc. from footages",15,"S",13,"W",19,"C  NE NE NE",4950,-330,"SE","CORALENA OIL CO.","unavailable",1818," KB",3259,"",NA,NA,NA,"","08-AUG-1946","11-SEP-1946","01-DEC-1976","24-JUL-2017",NA,NA,NA,NA,"","OIL-P&A","Spudded","9-16-1953, plugged back to 2410 for oil. 1-13-1954 deepened to 3571 for SWD. New operator CRA.",NA,1946-08-08,1946-09-11,1976-12-01,2017-07-24
"31153",1001301022,"15-167-04387",15167043870000,"Langholz","1","RUSSELL",38.8810721,-98.8645145,"Calc. from footages",13,"S",14,"W",34,"C  NE SE NW",3630,-2970,"SE","Trans Era Petroleum and B & R Drilling","unavailable",1850," KB",3496,"",NA,NA,NA,"","22-SEP-1952","15-OCT-1952","","22-DEC-2016",NA,NA,NA,NA,"","D&A","Converted to SWD Well","Original depth 3330. Deepened to 3496 in 6-7-1956 (possibly as SWDW).",NA,1952-09-22,1952-10-15,NA,2016-12-22
"31197",1001301089,"15-167-04374",15167043740000,"GEORGE MAIER","2-SWD","TRAPP",38.7556974,-98.8679153,"From GPS",15,"S",14,"W",10,"  SW SE SW",301,-3701,"SE","OHIO OIL CO. THE","Bennett & Schulte Oil Co., A General Partnership",1775," KB",3621,"",NA,NA,NA,"","30-JUN-1955","29-JUL-1955","","29-SEP-2017",NA,NA,NA,NA,"D04581.0","SWD","Recompleted","'Maier Salt Water Disposal #2' on log   (AB 4-25-00)",NA,1955-06-30,1955-07-29,NA,2017-09-29
"31874",1001302015,"15-167-05587",15167055870000,"Ebel 'B'","20","Hall-Gurney",38.8191914,-98.8231515,"Calc. from footages",14,"S",14,"W",24,"C  NE NW SE",2310,-1650,"SE","Cities Service Oil Co.","unavailable",1734," KB",2410,"",NA,NA,NA,"","05-OCT-1952","10-OCT-1952","01-MAR-1965","31-MAY-2013",NA,NA,NA,NA,"","OIL-P&A","","Elog labeled Ebel B 1, which is a shallow SWD well. Attached to this well based on depths, dates, elevations, and no other suitable candidate.",NA,1952-10-05,1952-10-10,1965-03-01,2013-05-31
"32175",1001302408,"15-167-22108",15167221080000,"South Fairport","3","Fairport",39.0163906,-99.0219871,"Calc. from footages",12,"S",15,"W",7," SW SE SE SE",87,-516,"SE","Sohio Petroleum Co.","unavailable",1819," KB",1350,"",NA,NA,NA,"","31-MAY-1983","04-JUN-1983","30-JUN-1983","22-OCT-2013",NA,NA,NA,NA,"","OTHER-P&A(LH)","Plugged and Abandoned","Drillers Log lists lease at South Fairport SWD. Completion date changed from 07-07-1983 to 06-04-1983 per Drillers Log. (DRL 01/2007)",NA,1983-05-31,1983-06-04,1983-06-30,2013-10-22
"33214",1001303827,"15-167-74281",15167742810000,"Michel","2","TRAPP",38.7741432,-98.839529,"Calc. from footages",15,"S",14,"W",2,"C  SW NE SE",1650,-990,"SE","Natl. Coop. Refinery Assoc.","unavailable",1715," DF",4009,"",NA,NA,NA,"","04-SEP-1946","04-DEC-1946","01-NOV-1961","23-AUG-2014",NA,NA,NA,NA,"","INJ-P&A","Plugged and Abandoned","SWD CABLE TOOL",NA,1946-09-04,1946-12-04,1961-11-01,2014-08-23
"33975",1001304802,"15-167-06443",15167064430000,"DOWN","1","GORHAM",38.8955995,-98.9202348,"Calc. from footages",13,"S",14,"W",30,"C  NE SE NW",3630,-2970,"SE","PHILLIPS PETROLEUM CORP.","unavailable",1836," DF",3320,"",NA,NA,NA,"","27-FEB-1936","10-APR-1936","01-DEC-1964","30-JUN-2011",NA,NA,NA,NA,"","D&A","","comp date per top card - SKS 10/2/2000  TD 3624 deepened 10/14-11/18/1936 SWD per top card- SKS 10/2/2000",NA,1936-02-27,1936-04-10,1964-12-01,2011-06-30
"36169",1001317567,"15-185-01672",15185016720000,"WILCUTT 'A'","1","SHAEFFER-ROTHGARN",38.2519045,-98.7487096,"Calc. from footages",21,"S",13,"W",4,"C  E2 NE SE",1980,-330,"SE","BODINE DRLG","unavailable",1884," DF",3565,"",NA,NA,NA,"","11-MAR-1941","24-MAR-1941","24-OCT-1950","20-OCT-2017",1001115992,107149,NA,NA,"","OIL-P&A","Plugged and Abandoned","Discovery well for Shaeffer-Rothgarn field. APPLEGATE SWD 7 in 1953 by H G KAISER",NA,1941-03-11,1941-03-24,1950-10-24,2017-10-20
