,KID,API_NUMBER,has_api,activity,well_type,assignment,reason,notes,comments_examined,documents_verified,STATUS,STATUS2,COMMENTS
418553,1044048679,,NA,active,class1_maybe_duplicate,status1,c1_com_poss_dup,possible_duplicate_of_api_15_093_20063,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection Well under authority KDHE, no API (DRL 1-11-2012)  Well data added per log info from KDHE, may match existing well API 15-093-20063 (DRL 1-11-2012)Operator formerly Colorado Interstate Gas Company (DRL 5-7-2012)"
418582,1044049131,15-091-20228,NA,active,class1_maybe_duplicate,status1,c1_com_poss_dup,possible_duplicate_of_deffenbaugh_industries_same_section,yes,,OTHER(CLASS ONE (OLD)),,Class I Injection Well under authority KDHE (DRL 1-12-2012)  Well may match Deffenbaugh Industries Class I well in same section (DRL 1-12-2012)
418638,1044051372,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection well under authority KDHE, no API (DRL 1-17-12)  Operator changed from Koch to Oxy per KDHE logs, depth changed from 4752 to 4666 (DRL 4-9-2012)"
418810,1044053135,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection Well under authority KDHE, no API (DRL 1-20-2012)  Well operator changed from 'Oxy Inc' to 'Koch' per KDHE records, as well as name change from 'Hamilton WWD 3' to 'Koch Fractionator 3'(DRL 1-25-12)Operator changed from Koch to Oneok pe"
418907,1044054361,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection well under authority KDHE, no API (DRL 1-24-12)  KDHE elogs indicate former operators were Cities Service Oil and Gas and Oxy, well location, date, and depth per elog information (DRL 1-24-12)Operator changed from Koch to Oneok per KDHE"
419705,1044064162,,NA,active,class1_maybe_duplicate,status1,c1_com_poss_dup,possible_duplicate_of_great_bend_packing_1_in_same_section,yes,,OTHER(CLASS ONE (OLD)),,Class I Injection Well under KDHE authority. No API (DRL 2-13-2012) Well may correspond to Great Bend Packing 1 in same section (DRL 2-13-2012)
419747,1044064558,,NA,active,class1_maybe_duplicate,status1,c1_com_poss_dup,possible_duplicate_of_'schroeder_2'_operator_northern_gas_products_or_'bushton_owwo'_operator_gulf_interstate_in_same_section,yes,,OTHER(CLASS ONE (OLD)),,Class I injection well under KDHE authority. No API (DRL 2-14-2012) Well may correspond to existing well 'SCHROEDER 2' operator Northern Gas Products or 'Bushton OWWO' operator Gulf Interstate in same section. Depth taken from Bushton  (DRL 2-14-2012)
420027,1044066562,,NA,active,class1_maybe_duplicate,status1,c1_com_poss_dup,possible_duplicate_of_mullinville_1_in_same_section,yes,,OTHER(CLASS ONE (OLD)),,Class I injection well under KDHE authority. No API (DRL 2-21-2012)  Well may match existing 'Mullinville 1' well in same section. API 15-097-00170 (DRL 2-21-2012)
420523,1044076443,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I injection well under KDHE authority, no API (DRL 1-6-12)  Location, date, and depth added per e-log record from KDHE (DRL 1-6-12)"
420635,1044078491,,NA,active,class1_maybe_duplicate,status1,c1_com_poss_dup,possible_duplicate_of_existing_swd_in_same_section,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection well under authority KDHE, no API (DRL 3-13-12) Well may correspond to existing SWD well in same section (DRL 3-13-2012)Quarter calls and well info per logs from KDHE (DRL 3-13-2012)"
421193,1044085105,,NA,active,class1_maybe_duplicate,status1,c1_com_poss_dup,possible_duplicate_of_northern_natural_gas_'schroeder_swd_3'_in_same_section,yes,,OTHER(CLASS ONE (OLD)),,"Class I injection well under authority KDHE, no API (DRL 4-4-2012)  Well may correspond to exisiting Northern Natural Gas 'Schroeder SWD 3' in same section (DRL 4-6-2012)"
421359,1044091401,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I injection well under KDHE authority, no API.KDHE Permit No. KS-01-111-001  Former Operator was Iowa Beef Processors Inc. (DRL 4-20-2012)"
421360,1044091403,,NA,active,class1_maybe_duplicate,status1,c1_com_poss_dup,possible_duplicate_of_api_15_035_72246,yes,,OTHER(CLASS ONE (OLD)),,"Class I injection well under KDHE authority, no API. Well may correspond to existing well with API 15-035-72246 and B&S Well Service operator. (DRL 4-13-2012)"
421361,1044091405,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I injection well under KDHE authority, no API (DRL 4-13-2012)"
421362,1044091408,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I injection well under KDHE authority, no API (DRL 4-13-2012)"
421363,1044091410,,NA,active,class1,status1,c1_com_poss_dup,possible_duplicate_of_api_15_159_00086,yes,,OTHER(CLASS ONE (OLD)),,"Class I injection well under KDHE authority, no API. Well may correspond to existing well with API 15-159-00086 (DRL 4-13-2012)"
421364,1044091412,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I injection well under KDHE authority, no API (DRL 4-13-2012)"
421423,1044091852,,NA,permit,class1,comments,c1_com,not_drilled_per_comments,yes,,OTHER(CLASS ONE (OLD)),,"Permitted, Not Drilled. Class 1 injection well under authority of KDHE, no API KDHE Permit No. KS-01-113-007(DRL 4-16-2012)"
421424,1044091854,,NA,active,class1,status1,c1_com_poss_dup,possible_duplicate_of_'wolf 1'_with_api_15_159_03333_kid_1001281897,yes,,OTHER(CLASS ONE (OLD)),,Class 1 injection well under authority of KDHE. Well may correspond to existing well 'Wolf 1'with API 15-159-03333 and KID 1001281897 (DRL 4-16-2012)
421461,1044092157,,NA,active,class1,status1,c1_com_poss_dup,possible_duplicate_of_kid_1001282244,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection well under authority of KDHE, no API. Well may correspond to Hutchins 1 well with KID 1001282244. (DRL 4-17-2012)"
421462,1044092159,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection well under authority of KDHE, no API (DRL 4-17-2012)"
421463,1044092164,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I injection well under authority of KDHE, no API (DRL 4-17-2012)"
421464,1044092167,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection well under authority of KDHE, no API (DRL 4-17-2012)"
421465,1044092212,,NA,active,class1,status1,c1_com_poss_dup,possible_duplicate_of_api_15_053_19058,yes,,OTHER(CLASS ONE (OLD)),,"Class I injection well under authority KDHE, no API (DRL 4-13-2012)Well may correspond to well with API 15-053-19058 in same section (DRL 4-13-2012)"
421613,1044093191,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I injection well under authority of KDHE, no API. Operator formerly Iowa Beef Processors. Well depth, drilling date, etc. taken from KDHE e-logs (DRL 4-20-2012)"
422135,1044101047,,NA,active,class1,status1,c1_com_poss_dup,possible_duplicate_of_kid_1043447432 ,yes,,OTHER(CLASS ONE (OLD)),,Class I injection well under KDHE authority. May be well with KID 1043447432 (DRL 5-7-2012)
422136,1044101049,,NA,active,class1,status1,c1_com_poss_dup,possible_duplicate_of_kid_1002915459,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection well under authority KDHE, no API. Possibly well with KID 1002915459 in same section (DRL 5-7-2012)"
424876,1044141089,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I injection well under KDHE authority, no API (DRL 7-30-2012)"
424877,1044141094,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I injection well under KDHE authority, no API (DRL 7-30-2012)"
424878,1044141096,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I injection well under KDHE authority, no API (DRL 7-30-2012)"
424879,1044141101,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I injection well under KDHE authority, no API (DRL 7-30-2012)"
424903,1044141485,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection well under KDHE authority, no API (DRL 7-31-2012)"
424904,1044141487,,NA,active,class1,status1,c1_com_poss_dup,possible_duplicate_of_api_15_067_20609_0001,yes,,OTHER(CLASS ONE (OLD)),,"Class I Injection well under KDHE authority, no API. Could correspond to 'McGannon 3' in same section with API 15-067-20609-0001 (DRL 7-31-2012)"
447258,1007376494,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS ONE (OLD)),," Class 1 injection well under authority of KDHE, no API(DRL 4-16-2012)"
116013,1004747655,15-055-59422,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,AKA Tyson #2 Jones. Class 1 injection well under authority of KDHE. (DS-DRL 3-29-2012)
470121,1045663808,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Dodge City, Permit 01-057-002"
470122,1045663849,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Wichita, Permit 01-173-001"
470123,1045663850,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Wichita, Permit 01-173-002"
470124,1045663855,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Lyons, Permit 01-159-001"
470125,1045663857,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Lyons, Permit 01-159-005"
470126,1045663858,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Lyons, Permit 01-159-006"
470127,1045663860,,NA,active,class1,status1,c1_com,comments_examined,yes,yes,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well, Locations as of 5/25/2016, City of Shawnee, Permit 01-091-002. Disposal into Arbuckle."
470128,1045663863,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Hutchinson, Permit 01-155-008"
470129,1045663864,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection, Well Locations as of 5/25/2016, City of El Dorado, Permit 01-115-001.  FMI Composite Log and FMI Image mislabeled with location 30-18N-20E, correct location 15-26S-5E according to corresponding log data (DRL 8-12-20"
470130,1045663866,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Lyons, Permit 01-159-007"
470131,1045663870,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Hutchinson, Permit 01-155-004"
470132,1045663871,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of McPherson, Permit 01-113-002"
470133,1045663874,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"UIC Class I Non Hazardous Waste Injection Well, Kansas Permit No. KS-01-113-008"
470134,1045663875,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"UIC Class I Non Hazardous Waste Injection Well, Kansas Permit No. KS-01-113-009"
470135,1045663877,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of McPherson, Permit 01-113-010"
470136,1045663878,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well, Locations as of 5/25/2016, City of Mullinville, Permit 01-097-001"
470137,1045663879,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well, Locations as of 5/25/2016, City of Bushton, Permit 01-159-003"
470138,1045663880,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Wichita, Permit 01-173-004"
470139,1045663881,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Wichita, Permit 01-173-006"
470140,1045663882,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Wichita, Permit 01-173-007"
470141,1045663883,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Wichita, Permit 01-173-008"
470142,1045663884,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Wichita, Permit 01-173-010"
470143,1045663885,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Wichita, Permit 01-173-011"
470144,1045663886,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of McPherson, Permit 01-113-006"
470145,1045663887,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Hutchinson, Permit 01-155-005"
470146,1045663888,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Hutchinson, Permit 01-155-006"
470147,1045663889,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Bushton, Permit 01-053-002"
470148,1045663890,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Bushton, Permit 01-053-003"
470149,1045663891,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Bushton, Permit 01-053-004"
470150,1045663892,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Bushton, Permit 01-053-005"
470151,1045663893,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Hutchinson, Permit 01-155-002"
470152,1045663894,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Hutchinson, Permit 01-155-003"
470153,1045663895,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Hutchinson, Permit 01-155-007"
470154,1045663896,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well, Locations as of 5/25/2016, City of Harper, Permit 01-077-001"
470155,1045663897,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Harper, Permit 01-077-002"
470156,1045663898,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Great Bend, Permit 01-009-001"
470157,1045663899,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Lakin, Permit 01-093-001"
470158,1045663900,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection, Well Locations as of 5/25/2016, City of Dodge City, Permit 01-057-003"
470159,1045663901,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Holcomb, Permit 01-055-002"
470160,1045663902,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Emporia, Permit 01-111-001"
470161,1045663903,,NA,active,class1,status1,c1_com,comments_examined,yes,,OTHER(CLASS1),,"From KDHE, KDHE Class I UIC Injection Well Locations as of 5/25/2016, City of Hutchinson, Permit 01-155-012"
